,title,stars,date,r_title,text
28,Cinderella,8,13 August 2015,Disney's Magic at its best,"This is another Walt Disney Classic (I know every film from that Time Period is a classic but still!), we all know the story of Cinderella so no plot to spoil really. But Disney's artists did a wonderful job in making this film truly look like an animated kids story book. I think that conventional artistry is or will soon be a forgotten art in today's 3D Animation CGI world. The rags to riches ball gown transformation scene and the pumpkin to a coach fit for a princess are just stand out beautifully drawn with excellent attention to detail. And lest we forget the soundtrack as always some lovely songs from Mack David, Al Hoffman, and Jerry Livingston like ""A Dream Is a Wish Your Heart Makes"" and ""Bibbidi-Bobbidi-Boo"" that enhance both the scenario and the characters."
29,Cinderella,7,8 October 2012,"Good movie, but where's a true element of evil?","When people talk about Disney Princesses, Cinderella is the first one that comes to mind. Although it's obviously targeted to a female audience, there's enough humor found in the antics of the mice, the cat Lucifer, the Prince's father, and his assistant to keep male audiences at least mildly entertained for the movie's 75-minute runtime. This is an exceptional fairy tale film, although a true element of evil like a witch or a sorceress who can turn herself into a dragon is sorely missed. Evil stepmothers just don't hold the same peril for me as something supernatural.After her father dies, Cinderella is left to the mercy of her stepmother. The wicked lady puts her stepdaughter to work as a servant. She cooks and cleans after the vile stepmother and her two daughters with a constant fear of being cast out of her own home. The Prince of Cinderella's homeland puts on a ball to find a wife. He demands the attendance of all the maids in the kingdom and the poor girl sees an opportunity for a temporary escape from her miserable day-to-day routine. Unfortunately, the depraved stepmother and her daughters have plans to keep Cinderella from attending the ball and meeting the Prince.http://contributor.yahoo.com/user/849014/eric_shirey.html"
30,Cinderella,7,12 September 2009,The Chicken Soup of Classics,"Out of all the Princess stories Disney has put out there, Cinderella probably has the most enduring appeal. I can't really say why, but for some reason, generation after generation thrusts her to the top of their lists. As a little girl, I wanted nothing more than to be Cinderella with her glass slipper- it was my absolute favorite costume.Honestly, I don't think there is any story that more realizes the longings of the human heart than Cinderella. Who has never wanted to run away from the drudgeries of daily life and find someone who sees you as no one else ever had? The story is older than the English language and somehow it still rings true.As for the characters, if nothing else, Disney can make a wonderful villain. Lady Tremaine is evil to the T, in a wonderfully calculating, not overtly physical way. Her cutting tongue and eyes do the work for her- she doesn't need staffs of lightening to strike fear into your heart. The animal friends tend to grate, especially that idiotic Gus. I would have cheered had he met his fate in Lucifer's jaws. Cinderella herself was no pushover- making some justly catty remarks at times. However, she just lacked the drive to make her entirely sympathetic. Sure, she was nice and fed animals, but what was keeping her at that place? We never know. Even if she only became a maid in another house, at least she'd be getting paid and have a shot at respect. It seems the only reason things work out in the end for Cindy is that everything sort of falls to place in her lap. She never works for her dreams that she sings so fondly of.Which brings me to the music, which is lovely, as ever. Ilene woods has a lovely, rich voice, probably my favorite of any Disney heroine. Some big standards originated here- A Dream is a Wish Your Heart Makes, So This is Love, Bibbidi Bobbidi Boo...Cinderella is a wonderful heartfelt story with a ton of musical highlights. While it is lacking in some character development, it does provide some classic villains and excellent voice work. If you are feeling sick at heart, pop it in- it'll warm you up and make you hum Mmm Mmm Good!Quote of the film:-Surprise! Surprise! -Duh duh duh- Happy Birthday!"
31,Cinderella,8,6 September 2008,"I know, I can't believe I'm writing a review either","Walt Disney & his 9 Old Men put their own 1950 spin on the classic fairy tale of Cinderella, which I guess you could say helps form an unofficial ""fairy tale princess trilogy"" from the classic Disney years.THE PLOT: Cinderella is a nice girl who can't catch a break. She is the daughter of a nice, wealthy widower who loved her dearly, but her mother passed away when Cinderella was very young, and Cindy's father felt she needed a mother figure, so he eventually married the woman who would become known as Lady Tremaine, herself a widow with two daughters about the same age as Cinderella, Anastasia and Drizella. At first they all seemed to get along, but then Cinderella's father died, and Lady Tremaine's true nature was revealed - she was a cold, cruel, callous, heartless, mean spirited woman, and she passed those traits on to her daughters, who were spoiled, bratty, and equally mean spirited. Anastasia & Drizella hate Cinderella because they know deep down that she's better looking and an overall nicer, more attractive lady than themselves (i.e., more appealing to men), and their mother, Lady Tremaine, hates Cindy for pretty much the same reasons. As the years passed Lady Tremaine began to squander the family fortunes in a stubborn but futile quest to improve/refine her awkward, unattractive daughters (to call them ""homely"" would be an insult to homely people everywhere) while all three relegated Cinderella to being the multi-tasking servant of the house, abusing her, mistreating her and humiliating her every chance they get (they are particularly fond of increasing her already absurd workload). That brings us to Cinderella in the present, where she has blossomed into a good looking young lady who somehow manages to remain kind hearted and nice despite her abusive step family and holds on to the hope that one day the tables will turn in her favor. Cinderella gets her shot at freedom & happiness when a royal ball is held to introduce the local prince to an eligible young maiden so that he can take her as a wife, settle down, start a family, etc. Naturally, her step family tries to keep her from attending, even going so far as to physically assault her and rip up the dress she had procured for herself (with a little help from her mice friends - the dress belonged to her biological mother). Finally pushed beyond her breaking point, Cinderella runs out into the courtyard and cries in despair. It is at that point that her Fairy Godmother, a short, plump, jolly woman, arrives and provides Cinderella with transportation and a transformed dress (after all, Cinderella wouldn't make a very good impression at the ball if she entered the scene looking like she had just gotten gang raped). Cindy arrives at the ball, the Prince falls hard for her, but that pesky midnight rule gets in the way, forcing her to flee, but leaving behind a glass slipper. Make a long story short - after a long harrowing quest to find the mystery girl via trying on the glass slipper, Cinderella is found and she and the prince get married, giving her the happy ending she deserves.Overall, an enjoyable Disney classic. Not without its flaws, the most glaring of which is that the Prince is little more than a MacGuffin to help push the plot along - he has very little screen time and even less dialogue, so we never get to know him very well or get a good look at his relationship with Cinderella (which is unfortunate since, according to the making of documentary, the Prince was originally meant to play a bigger role), and a few additional scenes to help flesh out Cinderella herself might have been helpful (there was a song that showed her fantasizing of turning into an army of maids to clean up the house as well as eavesdropping on her step-family post ball to show her amusement at their jealousy, which was cut because Walt himself thought it made her look spiteful). Still, Cinderella herself is a likable enough heroine, even if she is upstaged by her mice friends, and there's a sweetness to the film that is becoming harder to find these days. Of course, if this were being made now, Cinderella would probably put up more of a struggle against her family during the dress ripping scene and would probably free herself in the climax (either by picking the lock herself or making an impractical yet exciting jump down from her window) but this is beside the point.And for all those who say Cinderella sets a bad example for young girls, well, consider this - at least Cinderella didn't go around getting publicly drunk and indecently exposed, unlike some modern day ""princesses"" (you know who I mean)."
32,Cinderella,8,11 July 2008,Bibbidi Bobbidi Beautiful!,"""Cinderella"" is one of the most beloved of all Disney classics, a status it deserves. Based on the classic fairy-tale as told by Charles Perrault, the film follows the trials and tribulations of Cinderella, a good girl who is mistreated by her evil stepmother and equally awful stepsisters. When a royal ball is held and all eligible young women are invited (read: the King wants to get the Prince to marry so he can have grandchildren), Cinderella is left at home whilst her stepmother takes her awful daughters with her. But there is a Fairy Godmother on hand, and if you don't know what happens next, then I would seriously want to know why.I think we can all admit that the story of ""Cinderella"" as it appears in Perrault's collection wouldn't be able to pad out a feature on its own, so whilst generally staying true to the story, the fairly incidental characters of the animals whom the Fairy Godmother uses to help get the title character to the ball become Cinderella's true sidekicks, much like how the roles of the fairies were later fleshed out in ""Sleeping Beauty"", or how Jiminy Cricket in ""Pinocchio"" went from a minor character into the role of mentor. Two of the mice, Jaq and Gus, act as the principal sidekicks, with their own nemesis being a purely invented character, the obnoxious family cat Lucifer. The animal antics intertwine generally with the main plot, and reflect the general theme of the struggle between oppressor and slave (the little mice, birds and barnyard animals live in squalor, whereas the manipulative and selfish Lucifer lives in luxury). The film does slow down a bit between the main introduction of the characters and before the stepsisters depart for the ball, but after this slowdown, the film really gets going again and surprisingly (since ""Cinderella"" is the most worn down story of all time, probably) ends up as one of the most involving and engaging of Disney stories. The stepmother is one of the most alarming of Disney villains due to her having a sense of reality. She doesn't use black magic like to get her way like the evil fairy Maleficent in ""Sleeping Beauty"" or the Queen in ""Snow White"", but regardless subtly controls and manipulates people to horrific effect, including her own blatantly insecure daughters. In short, she uses people skills to a truly terrifying effect.The animation and art direction is lovely. All of the legendary Nine Old Men animated on this picture, and Mary Blair's colour styling and concept art (she also did concept art and colour styling for ""Alice in Wonderland"", ""Peter Pan"", ""The Three Caballeros"" and many many others) manage to wiggle their way on screen. The bold colours and whimsical, wavy designs are lovely, especially in the Fairy Godmother and ball scenes, where the characters often play against silhouettes of dark blues and violet. The staging feels theatrical and expressionistic, suiting the whimsical and romantic nature of the story adequately.Overall, ""Cinderella"" ranks as one of the best Disney fairy-tales and comes recommended to young and all. It embodies that uplifting philosophy so present in many Disney films - dreams really can come true."
33,Cinderella,7,18 July 2007,Classic fairy tale,"The 12th animated Disney classic is a reasonable movie told through a simple story. Even though a little dated, it deserves a place in the list of Disney classics.It's not among Disney's top works, but is satisfying. One of Disney's most ""simple"" works, yes, but keeps a certain magic and enchantment (which old Disney is well known for). This was an important movie because it saved Disney from a delicate situation. If this was a failure, there wouldn't be any more Disney animated classics.""Cinderella"" is somehow like a return to Disney's 1st animated classic (""Snow White and the Seven Dwarfs"") because it brings back the fairy tale genre. It's not clear where the story takes place, but I suppose it's somewhere in France because this is based in a tale by Charles Perrault.There are plenty of likable characters, such as Cinderella, the Prince, Bruno (the dog), Jaques and Gus (the two main mice), the Fairy Godmother (for a fairy she sure is funny), the birds, the King and the Grand Duke.Jaques is very smart and amusing. I love his voice. Really has that mouse-like quality. Gus might not be that smart, but he's humorous.The King is hilarious, but I think that what makes him so funny is his short temper. The Grand Duke is a very cool chap and funny too. They're two of my favorite characters in this film and responsible for many of the most amusing moments.The Prince is certainly one of the most charming in Disney. No doubt that Prince Philip from ""Sleeping Beauty"" was inspired on this prince, because they are very similar-looking.On the other hand, Lady Tremaine (the stepmother) isn't supposed to be likable because she's cold, jealous, bitter and cruel. Her daughters (Anastacia and Drizella) aren't much better than her. However, the stepmother isn't as annoying as her ugly and selfish daughters. Cinderella, the main character, has nothing to do with them. Cinderella is gentle, kind, pretty and lovable. By the way, I think her beautiful pink dress is much nicer than the one given by the Fairy Godmother.Lucifer (the cat) is hilariously malicious. The way he walks, sticking up his nose in the air and those arrogant and snobbish facial expressions make him funny. Ironically he's very much like the stepmother when it comes to personality. He always agrees with the stepmother's attitudes towards Cinderella. Lucifer has the right name for him because he's such a devilish and mean cat. Yet, there's nothing annoying about him.The soundtrack is simple but pleasant, although not among Disney's best. The best song in this movie is ""Bibiddi Bobiddi Boo"".There are plenty of well known talented voice actors in this, such as James MacDonald, Marion Darlington, Eleanor Audley, Verna Felton and Luis Van Rooten.Despite being simple-looking, the movie has good artwork, as well as its nice details, although never something ""out-of-this-world"". However, the King's palace is a spectacular masterpiece, being truly majestic and colossal."
34,Cinderella,9,14 October 2013,A true Disney classic from my childhood.,"This movie has stood the test of time for me over the years. It is still one of Walt Disney's best classics, I think.I haven't seen many renditions of Cinderella on TV or film, but this one could easily be the ultimate and timeless adaptations of the fairytale. Cinderella is portrayed as kind and gentle, but strong-willed character that overcomes her adversaries and befriends her animal friends, including the lovable mice Gus and Jaq. They add comic and charm to the movie and helps Cinderella go to the ball to find her Prince Charming. The stepmother and stepsisters went overtime in being portrayed as cruel and devious, including their sly and mischievous cat Lucifer (I just wished their coldness towards Cinderella was more counterbalanced). And, the Fairy Godmother, as portrayed in this movie, makes you believe in miracles.This movie is beautiful from start to finish - memorable characters, sweet and catchy songs, fast-paced plot, and a story development that just flows naturally and ""magically,"" making it one of the those films you would know that has the definite Disney-touch, as opposed to the more recent movies from Disney.This Disney classic is a definite for the movie collection for any family.Grade A"
35,Cinderella,7,26 November 2005,Straightforward Disney rendering of the fairy tale...,"Beautiful young woman, orphaned and living with her evil stepmother and two jealous stepsisters, hopes to attend the Royal Ball in the castle on the hill but may be thwarted by her cruel keepers and a decidedly nasty cat named Lucifer. Animated classic from Walt Disney has the company's signature style, but the scenarists skimp a bit on the background details. Walt wasn't exactly into character development, and the leading lady here is a bit of a masochist (one has to wonder, especially in this day and age, why she doesn't stick up for herself. Does she feel trapped or is her isolation a comfort to her after her father's demise?). The friendly, chattering mice who help Cinderella provide the comic relief, there are at least two excellent songs (""Bibbidi Bobbidi Boo"" and ""A Dream Is A Wish Your Heart Makes""), and many gorgeous moments of animated magic. Still, this plot is on the slim side (running time: 74 minutes), and is reminiscent of ""Snow White"" besides. Loaded up with villains, the movie could perhaps use a bit more of the grandmotherly Fairy Godmother (who literally vanishes); the pacing seems to stall after the big ballroom sequence, and the finale doesn't tell us what happened to the step-family. It's exquisite to look at however, and has some very funny slapstick. *** from ****"
36,Cinderella,8,4 March 2002,"I guess Disney really, really, REALLY needs money.","We watched this on ""The Wonderful World of Disney"" on ABC last night, and I came to the conclusion that things must be tighter there at ""the Mouse"" than usual.  Since this movie only runs 74 minutes, and they had to pad it out to 2 hours of broadcast television time, they had, and I'm not making this up, commercial breaks that lasted 6 to 7 minutes.  And during these commercial breaks, they had another advertisement in the guise of a ""TV show"" hosted by the oh-so-annoying Kelly Rippa that loudly proclaimed the magical wonders of ""Cinderella 2: Dreams Come True"".Again and again, break after break, Disney took time out of the real movie to tell us, the loyal viewers, that we needed to get a copy of the sequel. Thank you, Disney, for doing us the service of creating a sequel to your beloved gem of a movie.Anyway, all this commercialism and cash-register-ringing made it a difficult task to get into the actual movie of ""Cinderella"", because by the time the commercials were over, I had forgotten where the story had left off.But of course, the original ""Cinderella"" still maintains its magic, and the story is still a good one, though we've all seen it countless times.  It's a shame they had to cheapen it with all the marketing for what looks to be a lame follow-up."
37,Cinderella,,23 February 2003,Quite good,"I always thought that Cinderella was a slightly weak heroine, and you'd have to reinvent her to make her at all interesting (which Ever After successfully did). It's a nice story though, aside from the fact that Prince Charming looks almost exactly like Snow White and Sleeping Beauty's princes...the stepmother is very good, and I liked how they made sure the mysterious gal at the ball WAS Cinderella (the glass slipper broke, Cinderella showed them that she had the other), because I always thought it was slightly vague for her to be judged on her foot-size.All in all, this is a nice story, but it doesn't make my heart melt like Snow White did. 6 out of 10."
38,Cinderella,7,8 October 2017,"Strong heroine, nice film","Cinderella is considered by everyone as one of the best films ever done by WDAS. With amazing animation and beautiful artwork, this movie is a visually stunning piece of art.The main character, Cinderella, is one of the strongest Disney female characters. You may not agree with me, but, from my point of view, anyone who is capable to keep her head up, while stuck in a hard situation, and still be nice and optimistic is a great role model.Furthermore, Cinderella is not just your average damsel in distress. Unlike Snow White and Aurora, she does not dream about love. She dreams indeed about her life getting better, but romantic love is not necessary for her. She wanted to go to the ball to have fun and because that was her right, not to marry the prince. In fact, she didn't even knew it was the prince the one with whom she had fallen in love.She is not as passive as some people believes she is. Some people complain that she never ran away, but seriously, what chances had a woman in the 18th century alone and without money? Running away wasn't an option. But she won't let her stepmother to take away her few rights. She demands Lady Tremaine to let her go to the ball, and doesn't hesitate to sass out Anastasia and Drizella. She works hard in order to fulfill the conditions her stepmother put to her, and is quite resourceful (no dress? I'll make one). She is just a victim of her circumstances.Lady Tremaine, without any magical powers nor musical number, is still one of Disney's best villains. Her cold, calculating, almost twisted personality is a effective menace to Cinderella.The King steals the show, provides comic relief without being over the top or annoying, and is a memorable and likable character. Same with the Grand Duke and the Fairy Godmother.With the exception of Prince Charming (or Henry), who may be a bit dull, the other side characters are funny and likable.The music numbers are quite good. Some funny songs (The Work Song, the iconic Bibbidi Bobbidi Boo), other are just lovely (So this is love, Sing Sweet Nightingale). On the whole, enjoyable.However, I must say, as a kid I never enjoyed Cinderella that much. To begin with, the mice have too much screen time, and most of those scenes are slow and don't really contribute to the plot.Also, it lacks scary/dark scenes. Not featuring any dark magic, warfare or dangerous situations, this film doesn't really have much action, and can get boring. However, this also make it suitable for toddlers and sensitive children, who might be scared by the more violent Disney movies.A good film, worth watching."
39,Cinderella,9,1 October 2017,Beautiful animation and an intimidating villain.,"Cinderella is a classic Disney fairytale and has both the great villain who psychologically abuses our main character and the cute animal sidekicks to support our main character as seen in earlier classics. Lady Tremaine is one of my all time favorite villains in Disney's animated movies. Her calm and collected persona even when being a monster towards Cinderella makes her intimidating and believable. I often see her as an inspiration to my absolute favorite Disney villain, Claude Frollo from ""Hunchback..."" (1996). They share a couple of traits. Eleanor Audley makes a brilliant develish voice for her. What did you expect from the voice of Maleficent? As fantastic as the Disney magic is, it also has its drawbacks. Cinderella herself is a passive female main character. I admit that she is an innocent, kind-hearted, hardworking maid, and that is a great contrast to the spoiled stepsisters and Lady Tremaine's abusive nature, but it stops their. She is supported by her little animal sidekicks and her fairy godmother and never does take matters into her own hands. It is justifiable as a product of the time and by the fact that it is a fairytale where everything magically comes true. The one thing I find lacking is the development of the prince. He barely says anything and that annoys me a bit. His father and his right hand man speak way too much and that could easily have been more balanced. Enough of my complaints. I think Cinderella is a great fairytale and I really like it. Go see it if you haven't already."
40,Cinderella,7,11 August 2017,Sometimes dragged but still magical,"This is a great movie, with such a wonderful, magical, classic touch to it. There are some flaws, however, and one of them is how much is focused on the mice, mainly Jaq and Gus.Though Jaq and Gus are extremely cute and likable, the story drags when you watch their parts, including how they fight and try to escape the cat, Lucifer, or how Gus is hungry and tries to get a large stack of corn. Cinderella even bothers to make clothing for the mice. Really? At least that was fixed in the live-action.However, the part where Cinderella goes to the ball is magical and memorable. Really, every part with Cinderella is perfect. She is an alto, a low singer, but she still has a wonderful voice and beautiful duet, ""So This is Love."" Prince Charming does not have many lines, but he is a great singer as well, and the man that voiced him, William Phipps, did a great job at putting urgency and distress into his voice. Though Cinderella may seem weak to most of us, especially with how she can't break down her attic's door, yet fat mice can squeeze under it, she is truly a strong and brave character. She is pretty much a slave to her stepmother and does what her stepmother wants her to, even when she doesn't want to. She is obedient and hopeful, still holding on to her dreams even when in hard times. Speaking of characters, though Lady Tremaine may seem like one of the smallest villains, she may actually be one of the most dangerous, with how real she is and how it is possible someone like her can exist.With how the movie drags when the mice are around, yet with the well-built characters, I give this 7/10 stars. It is truly magical."
41,Cinderella,8,16 December 2016,A Walt Disney classic that can sill enchant and entertain,"A Walt Disney classic that  while not as groundbreaking or charming as the company's first full-featured animated feature Snow White and the Seven Dwarfs (1937)  can still enchant and entertain, especially young (and still young at heart) girls. The movie features an Academy Award nominated Score (and Sound) including ""Bibbidi-Bobbidi-Boo"", which also received an Oscar nomination, ""So This Is Love"", ""A Dream Is a Wish Your Heart Makes"", and the title song, which in part is sung by Marni Nixon. Directed by Clyde Geronimi, Wilfred Jackson, and Hamilton Luske, the story was adapted by Bill Peet, Erdman Penner, Ted Sears, Winston Hibler, Homer Brightman, Harry Reeves, Kenneth Anderson, and Joe Rinaldi from the original classic by Charles Perrault. The film was originally distributed by RKO Pictures.After the early death of her loving father, Cinderella (voiced by Ilene Woods) is made to work as a maid and cook for her stepmother Lady Tremaine (Eleanor Audley) and two stepsisters Drizella (Rhoda Williams) and Anastasia (Lucille Bliss), all three of whom are jealous of her charm and beauty. Having been happily raised by her widowed father, who married widow Tremaine out of concern that his daughter needed a mother, Cinderella continues to keep an optimistic outlook and perform her daily duties cheerfully despite her circumstances, befriending the estate's animals: mice Jaq and Gus, dog Bruno (all voiced by James Macdonald), horse Major and various bluebirds (Marion Darlington). The Tremaine's aptly named cat Lucifer (June Foray) terrorizes the mice and causes Cinderella extra work every chance he gets.Meanwhile the King (Luis Van Rooten), who wants grandchildren, decides to welcome home his son Prince Charming (William Phipps; Mike Douglas, singing) with a Royal Ball to which he'll invite all the comely maidens, hoping one will capture his son's heart. After grudgingly giving Cinderella permission to attend, Tremaine and her daughters all but ruin her chances to impress, forcing her to do extra chores then ripping her (animal assembled) dress and beads apart just as it's time to go. This act of cruelty and mean- spiritedness finally causes Cinderella to burst into tears and run into the garden, frustrated that she'll miss the dance and perhaps the only opportunity to escape her situation.At this point, Cinderella is visited by her Fairy Godmother (Verna Felton), who magically transforms various items and animals into the coach, driver, footman and horses she needs to attend the Ball; she is then adorned in a sparkling new dress complete with glass slippers. Her Fairy Godmother then warns her that ""on the stroke of midnight"" the spell will be broken (and everything will return to as it was). Of course, this is more than Cinderella could ever have hoped for, and she proceeds to the Ball where she and Prince Charming share a dance, ""falling in love"" just as the clock begins to toll midnight. She dashes from the Ball to her carriage which rushes homeward before turning back into a pumpkin. However, she'd left behind one slipper.The King decrees that the owner of the glass slipper must be found, and orders his Grand Duke to visit every house in the kingdom to find her. Seeing how utterly happy her stepdaughter is behaving, Lady Tremaine correctly surmises the truth and has Cinderella locked her attic bedroom while the Grand Duke is visiting their estate. While the Grand Duke tries in vain to force the slipper on Drizella's and Anastasia's big feet, the animals conspire to help their friend, outsmarting and outmaneuvering Lady Tremaine and Lucifer to give Cinderella a chance to try on the slipper. When Tremaine trips the footman, the slipper shatters on the floor, but Cinderella then produces its mate. After it is revealed that ""the shoe fits"" her perfectly, Cinderella is whisked away to the castle where she and the Prince live happily ever after."
42,Cinderella,,27 August 2016,Your wish come true,"Disney must have a knack for wicked stepmothers who want to torture their stepdaughters. Cinderella is a bedazzling tale about a glass slipper that will only fit the foot of the one the prince fell in love with at the ball. Happening upon a cottage, its a race against time as the friendly mice must free her from a locked room, before he leaves and evade the cat Lucifer who wishes to spoil their heroic gesture.Cinderella deals with many themes making a rich thought provoking tale from dealing with abusive stepparents, what it means to be humble and how to be a good worker no matter what circumstances you find yourself in. Cinderella never complains or raises her voice and only asks to have the night off to attend the party. The mother's hatred of the girl is never explained left up to the imagination which I based on her father having more favor with his daughter before he died and thus opened up bad wounds between them. Like Snow White I found the prince's character lacking and his love for our fair maiden feels phony from one ball and never takes the time to get to know her. Other then this complaint I found the picture to be a magical experience I'll be reliving over and over again."
43,Cinderella,9,9 July 2016,A very good movie that the current public ignores.,"One of the great classics of Disney Studios, this film adapts to the film one of the most famous tales of Charles Perrault: Cinderella, the girl who lives on the shadow of a cruel stepmother and her two sisters. Directed by Clyde Geronimi, Wilfred Jackson and Hamilton Luske, the film was produced by Walt Disney himself and has an experienced cast of voice actors, animators and a great soundtrack, created by Mack David, that earned three appointments for the Oscars in the categories of Best Sound, Best Soundtrack and Best Original Song (for the song ""Bibbidi-Bobbidi-Boo"").Personally, I consider this one of the best films that Disney Studio presented before converting to digital animation. The film managed to capture the magic of the story and present it in the same way that we do for our children. The film exudes charm, largely thanks to the way the animals become active characters, assuming very human attitudes and characteristics, something that wasn't usual in the movies that time. Nevertheless, some characters were poorly designed, and the King is the most obvious case: he only cares about the need to have many grandchildren quickly, in a caricature of the importance that royalty give to the dynastic stability. This is the most negative review I do to this movie, that can easily make forget this little flaws at a glance.Currently, this film has been criticized due to the glamorous and very stereotypical way that presents the story. However, I consider this kind of criticism quite unfair. The mentalities has changed a lot since this film was shot. In fact, the story in which the film is based is also the honest but passive girl, far from pleasing the current feminism's of our culture of ""woman-warriors"", independent and sexualized. People cannot see this movie with the eyes of this time, but it does not remove merit to it."
44,Cinderella,8,29 April 2016,Disney icon,"After her father's death, Cinderella lives under her cruel stepmother Lady Tremaine and her two mean daughters Drizella and Anastasia as their servant. She is kind to the small animals as they avoid Tremaine's cat Lucifer. The King is impatient for his only son to settle down. He arranges for a grand ball so that the prince may choose a bride. Cinderella is eager to attend. Tremaine promises to let her go if she finishes her chores and find a dress. They keep her busy so the little animals help her fix up her mother's gown. However, the stepsisters destroy the gown and she's left behind. Her fairy godmother comes to the rescue but her spell will be broken at midnight.The subject is a little old fashion but it is still plenty of fun. Cinderella is more pro-active than Snow White. She is a compelling character. She is kind-hearted and hard-working. The animals add a lot to this. The first half relies heavily on the mice. The music is light and fun. The songs are memorable. It's an iconic Disney animation and loads of fun overall."
45,Cinderella,,4 December 2015,charming,"just charming. for the characters and atmosphere. for the joy and for old fashion shadows. for te magic and for innocent beauty. for the delicate colors and for the spirit of a fairy tale who becomes more gentle in Disney version. a film about love and friendship. and about miracle. seductive for the grace to translate emotions and inspire another. beautiful for the details. and for an universe forever green. because it is one of films who not only presents a story but inspire a state of soul. real gem, it is a meeting with small pieces from childhood. the romance, the tension, the ferocious cat and nice mouses. and Cinderella. like a spring wind. a film who could be new at the each new view. this is its secret."
46,Cinderella,7,20 August 2015,Bibbidi-Bobbidi-Boo! This quintessential rags to riches story was kinda cool.,"Cinderella is one of the oldest, best known, and most universal stories in the world. The bare bones of the story are mostly the same with the Disney version directed by Clyde Geronimi, Hamilton Luske and Wilfred Jackson. The 12th canon film for Walt Disney Animation Studios, Cinderella tells the story a young noblewoman, Cinderella (Voiced by Ilene Woods), whom is forced to live with her crude & vindictive stepmother (Voiced by Eleanor Audley) when her parents died. Unable to get along with her step-family, they mistreat her by making her work as a servant. When the local prince (Voiced by William Phillips) holds a kingdom-wide ball, they refuse to let her attend, but she was able to go, when her fairy godmother (Voiced by Verna Felton) takes pity on her and outfits her for the ball. However, there is limit to the spirit's help: Cinderella must return by midnight. Can she win the heart of the prince or the limited time, be too much for her to overcome? Watch the movie to find out! Without spoiling the movie too much, the best known version of this story, is the one written by Charles Perrault in the 17th century call 'Cendrillion"". When you hear the name Cinderella, you think of fairy godmothers, glass slippers, and a pumpkin turned into a coach, you're thinking of Perrault. In the1950, Disney adapted Perrault's story into a movie, cementing it in people's minds as the 'truth' story of Cinderella. Not a lot of people know this, but this movie help save the Walt Disney Company from being bankrupt. At the time, Walt Disney Productions had suffered a big blow, when their European film market was cut off, due to the outbreak of World War 2. They were in debt, after high production films like 1940's Pinocchio, 1940's Fantasia, and 1942's Bambi weren't making a lot of money when they came out. Disney was limited to making collections of shorts while many of their staff were drafted to the war effort. It's Cinderella that save the company from bankruptcy. It's no wonder why the Cinderella Castle is one of the company's main logo. Since then, the popularity for this movie, has somewhat died down, as a lot of people saw the Cinderella story as alright at the time, but somewhat dated for the modern viewer. Then, you got those, modern viewers that really get angry, when you mention the name, Cinderella. Their beef against the film, was how the film is sexist, due to fact, that it portray women as hysterical servitude slaves who can only be rescue, by men or magical forces. I can understand, a bit, of what they were saying. Cinderella was indeed, somewhat a submissive and meek character, but she also has a fighter side. She did make a choice, to go to the ball, against the wishes of her crude Step-family. She did try to escape her abusive environment, toward the climax and despite the abuse and neglect she had gone through, she still remained kind and forgiving. Any normal person would have become cynical if they had gone through this, but she didn't. Yes, she got married at the end. But how does that make this movie less feminist? Being a feminist doesn't mean you hate men, so getting married didn't make her any less of a strong character. There is nothing wrong, with caring. I know that whole essays have been written ripping Cinderella apart, but those are some good examples of her being more than the submissive, servile archetype. Also is the Fairy Godmother really damaging to children, convincing them someone will solve their problems, or is she a symbol of hope? There has been many of brave, productive people that believe in higher powers, throughout history. I really doubt of any of them, were call fragile. Maybe we just need to admit we don't know the character as we think we do, and leave our interpretation of Cinderella up to the individual. However, this doesn't stop the movie, from having other faults; like how the movie is call Cinderella, but most of the screen time, is with the mice. Another is how Cinderella's looks win over the prince, over her personality. The two of them, have little to no chemistry. The film also fails to explain, how the magic works. Why doesn't the Fairy Stepmother step up and save Cinderella, earlier? Why does Cinderella's magic end at midnight? Why doesn't the glass slipper, disappear when the clock strikes midnight? Could Cinderella really the only person in the kingdom who the slippers could fit? These things, really needed some more exposition. Anyways, the animation is alright, but it definitely marked down to form, compare to the painstaking and extremely expensive animation techniques of the earlier films. The songs were pretty catchy. I love all of them, but some songs do go, way too long. The voice acting is alright, for the most part. However, the prince is the worst of them, all with his limited role. Glad, the movie nearly goes all Brother Grimm with the story. It never goes too gory. We don't see the stepsister's gruesome acts of self-mutilation of foot-binding and cutting off limps. Then later, them being blinded by birds. Still, I can wish, they kept the part of one that one of the step-sisters was slightly less mean than the other one. Anyways, parents need to know that this Disney classic is one that whole family can enjoy together. Even, if kids saw the film, they will likely already be familiar with Cinderella and her Disney Princess colleagues due to a massive marketing effort behind the ladies. Cinderella got not one, but 2 Directed-to-Video sequels: 2002's Cinderella II: Dreams Come True & 2007's Cinderella III's A Twist in Time. There is also a 2015 live action remake with the same name. Overall: while, not the best Disney movie, but it does have enough magic, to keep the magic going. Do recommended."
